Don 	Prérequis 	Description 	Eberron
"Marque draconique majeur
"	Prérequis : Niveau 8, le personnage doit posséder un Marque draconique	"Votre Marque draconique a grandi en taille et en puissance. Ce don améliore le Marque draconique présent sur votre corps, et les avantages gagnés dépendent du type de Marque draconique que vous possédez. Un Marque draconique majeur prodigue les avantages suivants : Le type de dé que vous lancez comme dé d'intuition avec votre Marque draconique augmente d'une taille.
Augmentez une de vos caractéristiques de 1, sans dépasser 20. Les caractéristiques que vous pouvez augmenter dépendent de votre Marque draconique.
Les pouvoirs ont un effet ou leur degré de difficulté augmenté (fixé lors de la prise du don)."	X
Accord d'arme magique	Création d'armes et armures magiques, niveau 5 de lanceur de sorts	Quand il manie une arme magiquele personnage bénéficie de +1 aux jets d'attaque et de dégâts après 24h de mise à disposition.	x
Acrobate		"Vous devenez plus agile, et obtenez les avantages suivants :
Augmentez votre valeur de Dextérité de 1, pour un maximum de 20.
Vous gagnez la maîtrise de la compétence Acrobaties. Si vous maîtrisez déjà cette compétence, ajoutez le double de votre bonus de maîtrise aux jets de cette compétence.
Par une action bonus, vous pouvez effectuer un jet de Dextérité (Acrobaties) DD 15. En cas de réussite, un terrain difficile ne vous coûte pas de mouvement supplémentaire jusqu'à la fin du tour en cours."	
Acrobate des falaises	Féral	en rage, la vitesse d'escalade augmente de 3m. Cumulable avec la marque d'arpenteur des falaise.	x
Acteur		"Entraîné au mimétisme et à l'art dramatique, vous gagnez les avantages suivants :
Augmentez votre valeur de Charisme de 1, pour un maximum de 20.
Vous avez l'avantage aux jets de Charisme (Tromperie) et Charisme (Représentation) pour essayer de vous faire passer pour une autre personne.
Vous pouvez imiter le discours d'une autre personne ou les sons émis par d'autres créatures. Vous devez avoir entendu la personne qui parle, ou entendu la créature émettre le son, pendant au moins 1 minute. Un jet réussi de Sagesse (Perspicacité) contre votre jet de Charisme (Tromperie) permet à celui qui écoute de déterminer qu'il s'agit d'une imitation."	
Adepte de la métamagie	Capacité Incantation ou Magie de pacte	Vous apprenez deux options de métamagie et gagnez 2 points de sorcellerie.	
Adepte élémentaire	Capacité de lancer au moins un sort	"Quand vous gagnez ce don, choisissez l'un des types de dégâts suivants : acide, froid, feu, foudre ou tonnerre.
Les sorts que vous lancez ignorent la résistance aux dégâts du type choisi. En outre, lorsque vous lancez les dés de dégâts pour un sort que vous avez lancé et qui inflige des dégâts de ce type, vous pouvez traiter tout 1 aux dés comme un 2.
Vous pouvez sélectionner ce don plusieurs fois. Chaque fois que vous faites cela, vous devez choisir un type de dégâts différent."	
Adepte martial		"Vous avez une formation martiale qui vous permet d'effectuer des manœuvres de combat spéciales. Vous obtenez les avantages suivants :
Vous apprenez deux manœuvres de votre choix parmi celles disponibles pour l'archétype de guerrier du maître de bataille. Si une manœuvre que vous utilisez nécessite que la cible fasse un jet de sauvegarde pour résister aux effets de la manœuvre, le DD du jet de sauvegarde est égal à 8 + votre bonus de maîtrise + votre modificateur de Force ou de Dextérité (selon votre choix).
Si vous avez déjà des dés de supériorité, vous en gagner un de plus ; sinon, vous obtenez un dé de supériorité, qui est un d6. Ce dé est utilisé pour alimenter vos manœuvres. Un dé de supériorité est dépensé lorsque vous l'utilisez. Vous regagnez vos dés de supériorité dépensés lorsque vous terminez un repos court ou long."	
Adepte occulte	Capacité Incantation ou Magie de pacte	Vous apprenez une manifestation occulte.	
Agilité des courts-sur-pattes	Nain ou race de taille P	"Vous êtes particulièrement agile pour votre race. Vous obtenez les avantages suivants :
Augmentez votre valeur de Force ou de Dextérité de 1, pour un maximum de 20.
Augmentez votre vitesse de marche de 1,50 mètre.
Vous gagnez la maîtrise de la compétence Acrobaties ou Athlétisme.
Vous avez un avantage à vos jets de Force (Athlétisme) ou Dextérité (Acrobaties) pour vous échapper si vous êtes agrippé."	
Agressivité orc	Demi-orc	En utilisant une action bonus, vous pouvez vous déplacer de votre vitesse en direction d'un ennemi de votre choix que vous pouvez voir ou entendre. Vous devez terminer ce déplacement plus proche de l'ennemi que vous ne l'étiez.	
Alchimiste		"Vous avez étudié les secrets de l'alchimie et êtes un expert dans sa pratique, ce qui vous donne les avantages suivants :
Augmentez votre valeur d'Intelligence de +1, jusqu'à un maximum de 20.
Vous gagnez la maîtrise du matériel d'alchimie. Si vous le maîtrisez déjà, vous ajoutez le double de votre bonus de maîtrise aux jets que vous faîtes avec lui.
Par une action, vous pouvez identifier une potion à 1,50 mètre ou moins de vous, comme si vous l'aviez goûté. Vous devez voir le liquide pour que cet avantage fonctionne.
Au cours de tout repos court, vous pouvez améliorer temporairement la puissance d'une potion de soins, quelle que soit sa rareté. Pour utiliser cet avantage, vous devez avoir le matériel d'alchimie avec vous, et la potion doit être à portée de main. Si la potion est bue moins d'une heure après la fin du repos court, la créature qui boit la potion peut renoncer à jeter les dés de la potion et récupérer le maximum de points de vie que la potion peut restaurer."	
Amateur d'armes à feu		+1 en Dex., maîtrise des armes à feu, ignore la propriété rechargement de ces armes et aucun désavantage à l'attaque au contact.	
Amateur d'armures intermédiaires	Maîtrise des armures légères	"Vous avez été formé pour maîtriser l'utilisation des armures intermédiaires et des boucliers, et vous bénéficiez des avantages suivants :
Augmentez votre valeur de Force ou de Dextérité de 1, pour un maximum de 20,
Vous gagnez la maîtrise des armures intermédiaires et des boucliers."	
Amateur d'armures légères		"Vous avez été formé pour maîtriser l'utilisation des armures légères, et vous bénéficiez des avantages suivants :
Augmentez votre valeur de Force ou de Dextérité de 1, pour un maximum de 20,
Vous gagnez la maîtrise des armures légères."	
Amateur d'armures lourdes	Maîtrise des armures intermédiaires	"Vous avez été formé pour maîtriser l'utilisation des armures lourdes, et vous bénéficiez des avantages suivants :
Augmentez votre valeur de Force de 1, pour un maximum de 20,
Vous gagnez la maîtrise des armures lourdes."	
Ami des bestioles	Gnome	"Votre empathie avec les animaux augmente mystérieusement. Vous obtenez les bénéfices suivants :
Vous gagnez la maîtrise de la compétence Dressage. Si vous la maîtrisez déjà, votre bonus de maîtrise pour cette compétence est doublé.
Vous apprenez le sort compréhension animale et vous pouvez le lancer à volonté, sans dépenser d'emplacement de sort. Vous apprenez également le sort amitié animale, et vous pouvez le lancer une fois, grâce à ce don, sans dépenser d'emplacement de sort. Vous devez terminer un repos long avant de pouvoir de nouveau lancer le sort amitié animale via ce don. L'Intelligence est votre caractéristique de lanceur de sorts dans le cadre de ce don."	
