Liens	
d100	
1	Je n’hésiterais devant rien pour récupérer un héritage familial inestimable volé il y a des années.
2	Je ne reculerais devant rien pour restaurer l’honneur de ma famille, à jamais entachée par les sombres actes de mon grand-père.
3	Je n’hésiterais devant rien pour restaurer l’honneur de ma famille, dépouillée de leurs terres et de leur titre par un dirigeant cruel et injuste.
4	Je n’hésiterais devant rien pour restaurer mon ancien domaine familial, laissé en ruines après un incendie mystérieux et réputé envahi par des monstres.
5	Je n’hésiterais devant rien pour retrouver un texte ancien sacré à ma foi.
6	Je ne reculerais devant rien pour récupérer un ancien volume de sorts censés détenir le secret de la vie éternelle.
7	Je ne reculerais devant rien pour trouver un ancien et maudit grimoire censé contenir les pires secrets des arts nécromantiques et le détruire une bonne fois pour toutes.
8	Je ne reculerais devant rien pour trouver un livre de sorts ancien et maudit, censé contenir les pires secrets des arts nécromantiques, et l’utiliser à mes propres fins.
9	Je ne reculerais devant rien pour trouver un remède à l’affliction d’un membre de ma famille, car la malédiction de la lycanthropie les tient en sa main, et je refuse de croire que la mort est la seule option.
10	Je mourrais pour récupérer la relique la plus sacrée de ma religion.
11	Un jour, je reprendrai ma place légitime sur le trône d’un royaume lointain.
12	Je ferai tout ce qu’il faut pour protéger et soutenir le temple qui m’a accueilli enfant.
13	Il n’y a pas un animal, un enfant ou une chose sans défense dans le multivers pour lequel je ne mourrais pas pour protéger.
14	Je suis obligé de protéger l’emplacement d’un objet de grand pouvoir — un artefact ancien et maudit que beaucoup de personnes malfaites cherchent à utiliser à leurs propres fins.
15	Moi (ainsi que six autres) sommes tenus de garder l’emplacement d’un fragment d’un artefact magique. Si elle était réassemblée, elle pourrait signifier la fin de toute la création.
16	Je dois ma vie aux fermiers qui m’ont accueilli comme enfant orphelin.
17	Je dois ma vie à la bande de bandits qui m’a recueillie comme orpheline et m’a tout appris.
18	Je dois ma vie aux musiciens itinérants qui m’ont offert un foyer sur la route quand j’étais enfant.
19	Je dois tout à la famille noble qui m’a élevée comme la leur, sans jamais révéler à personne ma véritable filiation.
20	Quelque part, il y a les gens qui ont pris ma sœur. Je la retrouverai et je leur ferai payer même si c’est la dernière chose que je fais.
21	J’ai affronté la mauvaise personne, et maintenant je dois m’assurer qu’elle ne me retrouve jamais, ni les gens que j’aime.
22	J’ai réussi à convaincre des gens très dangereux que je suis mort. S’ils découvrent la vérité, ce serait très, très grave.
23	J’ai volé des gens très puissants et très dangereux, et maintenant je dois les rembourser avec des intérêts, sinon tous ceux que j’aime paieront.
24	Je dois tout à mon mentor qui m’a appris à faire fonctionner. Un de ces jours, je les trouverai et je leur ferai payer pour m’avoir trahi.
25	Quand j’ai quitté mon ancienne vie, j’ai dû laisser mon meilleur ami dans une situation qui lui a coûté la vie. Maintenant, j’envoie de l’argent à leur famille dès que je peux.
26	Ce que je tiens le plus au monde a été pris par un groupe de personnes puissantes. Je le récupérerai même si c’est la dernière chose que je fais.
27	Je deviendrai la plus grande [Insérer classe] que le monde ait jamais connue.
28	J’ai fait quelque chose d’impardonnable dans ma vie précédente, et tout ce que je fais maintenant est dans la quête d’expiation.
29	Quelqu’un qui me faisait confiance a été gravement blessé, de façon permanente, à cause de moi. Maintenant, je m’occupe d’eux comme je peux.
30	Ma rivalité avec un ennemi d’enfance alimente tout ce que je fais.
31	Ma rivalité avec un autre aventurier est ce qui me fait sortir du lit le matin.
32	Je ferais n’importe quoi pour mes camarades aventuriers — passés ou présents.
33	J’ai une idole dont j’imite les exploits dès que je le peux.
34	Mon [Insérer Arme ou Objet] porte le nom d’une ancienne flamme dont je n’arrive pas à me remettre.
35	Un aventurier rival m’a pris ma part de mon dernier travail, et je ne me reposerai pas tant que nous ne serons pas quittes.
36	Ma famille a été vendue comme esclave par des monstres, et je les cherche partout où je vais.
37	Des monstres ont attaqué mon village et emporté mes enfants. Je dois les trouver.
38	Le village où j’ai grandi est l’endroit le plus important au monde pour moi.
39	L’arène où j’ai vu mon premier combat est en gros un terrain sacré pour moi.
40	La bibliothèque où j’ai lu mon premier livre de magie est l’endroit où j’imagine me trouver chaque fois que les choses deviennent trop difficiles à supporter.
41	Quand je suis triste, en colère ou effrayé, je pense simplement à la voix de mon mentor et j’imagine ce qu’il dirait.
42	J’adore une grande beauté de mon village natal. Un jour, quand je serai riche, célèbre et puissant, ils n’auront d’autre choix que de me remarquer.
43	Rien n’a plus d’importance pour moi que les membres de mon ordre/guilde/monastère/etc.
44	Je brûlerais ce bar pour une goutte de rhum de plus.
45	J’ai un faible pour les cartes à encoches et les dés chargés.
46	La cuisine de mon pays natal me fait toujours gronder l’estomac et me donner une larme aux yeux.
47	J’ai affronté des démons, des dragons, et pire ; C’est préférable à la déception de ma famille.
48	J’ai juré de respecter le credo de mon ordre.
49	J’ai prêté serment d’accomplir les devoirs que ma foi m’impose.
50	J’ai juré de défendre cette terre et son peuple jusqu’à ma mort.
51	J’ai juré de trouver et de restaurer l’héritier légitime de ces terres.
52	Ma loyauté envers le souverain de ces terres est inébranlable.
53	J’ai juré mon service au peuple, et je mourrais pour les voir en sécurité.
54	Je suis amoureuse de l’héritier d’une famille qui est en guerre avec la mienne depuis des générations.
55	Si je rentre chez moi, ce sera pour épouser quelqu’un que je n’aime pas.
56	Je suis convaincu de l’existence d’une apocalypse imminente et je ferais tout pour l’éviter.
57	Je suis le dernier de ma maison. C’est mon devoir de porter notre nom, nos histoires et notre avenir.
58	Je suis le dernier de mon ordre. C’est ma responsabilité sacrée de préserver notre savoir ancien de peur qu’il ne tombe entre de mauvaises mains.
59	Je suis le dernier disciple d’un dieu mourant. Ils me parlent à voix basse qui s’estompent chaque jour. Je dois leur trouver de nouveaux croyants, sinon ils disparaîtront bientôt.
60	Je vengerai tout mal causé à la terre sur laquelle j’ai grandi.
61	Il y a une question ancienne posée par un vénérable érudit de mon ordre, et trouver la réponse est l’œuvre de ma vie.
62	Découvrir les secrets du passé est ma grande passion. Tout l’or et les gemmes aident juste à payer les factures.
63	J’ai fait des choses terribles en quête de connaissances cachées, et maintenant je dois utiliser les informations que j’ai recueillies pour arranger les choses.
64	Je suis loyal envers l’autorité et je chercherai quelqu’un pour réfléchir à ma place si personne ne se présente visiblement.
65	Quiconque se bat à mes côtés est un ami pour la vie.
66	À quoi bon pouvoir se battre à moins de me battre pour ceux qui ne peuvent pas se protéger eux-mêmes ?
67	Il y a une petite auberge dans mon village. Un jour, quand j’aurai économisé assez d’or, je vais l’acheter et m’installer.
68	J’ai fait partie d’une rébellion ratée. Même si la plupart des gens ne se souviennent pas du chemin, je lutte contre lui à chaque occasion.
69	La beauté sous toutes ses formes est mon obsession. Vêtements, art, gens — si je vois quelque chose d’exquis, je dois l’avoir.
70	La ville où je suis né est le centre de l’univers. Nulle part ailleurs ne se compare, et je la défendrai — que je débatte des mérites comparatifs de ses célèbres tourtes à la viande ou que je manie une épée au sommet de ses murs.
71	Je n’aurais pas survécu sans quelqu’un qui m’a pris sous son aile.
